No.,Category,Product,Filename,Original Size,Source,Status
1,Monthly Single Vision,SofLens 59,01_SofLens_59.png,945x630,Embedded image extracted directly from uploaded PDF,Available
2,Monthly Single Vision,SofLens 38,02_SofLens_38.png,945x630,Embedded image extracted directly from uploaded PDF,Available
3,Monthly Single Vision,PureVision 2 HD,03_PureVision_2_HD.png,945x630,Embedded image extracted directly from uploaded PDF,Available
4,Monthly Single Vision,ULTRA,04_ULTRA.png,945x630,Embedded image extracted directly from uploaded PDF,Available
5,Daily Single Vision,SofLens Daily Disposable,05_SofLens_Daily_Disposable.png,945x630,Embedded image extracted directly from uploaded PDF,Available
6,Daily Single Vision,Biotrue ONEday,06_Biotrue_ONEday.png,645x430,Embedded image extracted directly from uploaded PDF,Available
7,Daily Single Vision,ULTRA One Day,07_ULTRA_One_Day.png,622x415,Embedded image extracted directly from uploaded PDF,Available
8,Astigmatism,SofLens Toric for Astigmatism,08_SofLens_Toric_for_Astigmatism.png,945x630,Embedded image extracted directly from uploaded PDF,Available
9,Astigmatism,ULTRA for Astigmatism,09_ULTRA_for_Astigmatism.png,945x630,Embedded image extracted directly from uploaded PDF,Available
10,Astigmatism,SofLens Daily Disposable for Astigmatism,10_SofLens_Daily_Disposable_for_Astigmatism.png,945x630,Embedded image extracted directly from uploaded PDF,Available
11,Cosmetic Lens,Lacelle monthly - image 1,11_Lacelle_Monthly_01.png,889x556,Embedded image extracted directly from uploaded PDF,Available
12,Cosmetic Lens,Lacelle monthly - image 2,12_Lacelle_Monthly_02.png,855x535,Embedded image extracted directly from uploaded PDF,Available
13,Cosmetic Lens,Lacelle Grace Daily,13_Lacelle_Grace_Daily.png,778x519,Embedded image extracted directly from uploaded PDF,Available
14,Cosmetic Lens,Lacelle Diamond Daily,14_Lacelle_Diamond_Daily.png,662x441,Embedded image extracted directly from uploaded PDF,Available
15,Presbyopia,SofLens Multi-Focal,15_SofLens_Multi-Focal.png,945x630,Embedded image extracted directly from uploaded PDF,Available
16,Presbyopia,PureVision 2 for Presbyopia,16_PureVision_2_for_Presbyopia.png,719x479,Embedded image extracted directly from uploaded PDF,Available
17,Presbyopia,ULTRA for Presbyopia,17_ULTRA_for_Presbyopia.png,566x362,Embedded image extracted directly from uploaded PDF,Available
18,Lens Care,renu fresh,18_renu_fresh.png,555x612,Embedded image extracted directly from uploaded PDF,Available
19,Lens Care,renu sensitive,19_renu_sensitive.png,557x615,Embedded image extracted directly from uploaded PDF,Available
20,Lens Care,Biotrue lens care set,20_Biotrue_Lens_Care_Set.png,945x945,Embedded image extracted directly from uploaded PDF,Available
